iso3,year,variable,value
ABW,1995,exp_gdp,26.332
ABW,1996,exp_gdp,27.458
ABW,1997,exp_gdp,24.989
ABW,1998,exp_gdp,21.574
ABW,1999,exp_gdp,22.798
ABW,2000,exp_gdp,21.606
ABW,2001,exp_gdp,22.508
ABW,2002,exp_gdp,24.66
ABW,2003,exp_gdp,25.136
ABW,2004,exp_gdp,29.245
ABW,2005,exp_gdp,24.477
ABW,2006,exp_gdp,24.827
ABW,2007,exp_gdp,22.62
ABW,2008,exp_gdp,25.359
ABW,2009,exp_gdp,26.888
ABW,2010,exp_gdp,30.443
ABW,2011,exp_gdp,27.199
ABW,2012,exp_gdp,30.761
ABW,2013,exp_gdp,29.454
ABW,2014,exp_gdp,29.834
ABW,2015,exp_gdp,25.373
ABW,2016,exp_gdp,25.119
ABW,2017,exp_gdp,24.558
ABW,2018,exp_gdp,24.863
ABW,2019,exp_gdp,24.032
ABW,2020,exp_gdp,41.916
ABW,2021,exp_gdp,31.365
ABW,2022,exp_gdp,23.525
ABW,2023,exp_gdp,22.411
ABW,2024,exp_gdp,21.225
ABW,2025,exp_gdp,22.499
ABW,2026,exp_gdp,22.303
ABW,2027,exp_gdp,22.429
ABW,2028,exp_gdp,22.426
ABW,2029,exp_gdp,22.379
ABW,2030,exp_gdp,22.339
AFG,2002,exp_gdp,6.943
AFG,2003,exp_gdp,11.927
AFG,2004,exp_gdp,15.069
AFG,2005,exp_gdp,15.651
AFG,2006,exp_gdp,18.262
AFG,2007,exp_gdp,21.448
AFG,2008,exp_gdp,20.899
AFG,2009,exp_gdp,21.151
AFG,2010,exp_gdp,20.789
AFG,2011,exp_gdp,21.937
AFG,2012,exp_gdp,25.028
AFG,2013,exp_gdp,24.977
AFG,2014,exp_gdp,25.402
AFG,2015,exp_gdp,25.947
AFG,2016,exp_gdp,28.029
AFG,2017,exp_gdp,27.732
AFG,2018,exp_gdp,28.936
AFG,2019,exp_gdp,27.999
AFG,2020,exp_gdp,27.937
AFG,2021,exp_gdp,17.934
AFG,2022,exp_gdp,16.116
AFG,2023,exp_gdp,16.967
AFG,2024,exp_gdp,19.383
AGO,1980,exp_gdp,30.518381
AGO,1981,exp_gdp,36.440063
AGO,1982,exp_gdp,40.641785
AGO,1983,exp_gdp,36.432594
AGO,1984,exp_gdp,41.82069
AGO,1985,exp_gdp,37.009033
AGO,1986,exp_gdp,36.1287
AGO,1987,exp_gdp,29.822653
AGO,1988,exp_gdp,33.66471
AGO,1989,exp_gdp,30.121702
